nama_kabupaten_kota,total_nusantara,total_mancanegara,total_pengunjung,rata_rata_tahunan
KABUPATEN BANDUNG,36439918,1599731,38039649,3458149.909090909
KABUPATEN BANDUNG BARAT,40932349,1464122,42396471,3854224.6363636362
KABUPATEN BEKASI,8578213,24258,8602471,782042.8181818182
KABUPATEN BOGOR,41862303,1637626,43499929,3954539.0
KABUPATEN CIAMIS,8566930,7828,8574758,779523.4545454546
KABUPATEN CIANJUR,24220667,742652,24963319,2269392.6363636362
KABUPATEN CIREBON,6070801,24,6070825,551893.1818181818
KABUPATEN GARUT,24540395,22855,24563250,2233022.727272727
KABUPATEN INDRAMAYU,6278871,96,6278967,570815.1818181818
KABUPATEN KARAWANG,43744284,21163,43765447,3978677.0
KABUPATEN KUNINGAN,18642561,1306,18643867,1694897.0
KABUPATEN MAJALENGKA,5700596,3094,5703690,518517.2727272727
KABUPATEN PANGANDARAN,26591055,40241,26631296,2663129.6
KABUPATEN PURWAKARTA,22918487,440515,23359002,2123545.6363636362
KABUPATEN SUBANG,31921775,1113360,33035135,3003194.090909091
KABUPATEN SUKABUMI,21551971,186636,21738607,1976237.0
KABUPATEN SUMEDANG,8842988,75894,8918882,810807.4545454546
KABUPATEN TASIKMALAYA,9762447,19744,9782191,889290.0909090909
KOTA BANDUNG,25770515,966717,26737232,2430657.4545454546
KOTA BANJAR,542354,36,542390,49308.181818181816
KOTA BEKASI,3369755,582,3370337,306394.2727272727
KOTA BOGOR,38046513,500530,38547043,3504276.6363636362
KOTA CIMAHI,422144,2722,424866,38624.181818181816
KOTA CIREBON,11980171,8269,11988440,1089858.1818181819
KOTA DEPOK,16405415,25214,16430629,1493693.5454545454
KOTA SUKABUMI,1667103,111228,1778331,161666.45454545456
KOTA TASIKMALAYA,4705913,268211,4974124,452193.0909090909
